2023-10-27 12:15:19.103 [warning] TextEditor is closed/disposed
2023-10-27 12:16:44.669 [warning] TextEditor is closed/disposed
2023-10-27 12:16:47.288 [warning] TextEditor is closed/disposed
2023-10-27 12:17:36.622 [warning] TextEditor is closed/disposed
2023-10-27 12:22:37.443 [warning] TextEditor is closed/disposed
2023-10-27 12:22:38.331 [warning] TextEditor is closed/disposed
2023-10-27 12:22:42.210 [warning] TextEditor is closed/disposed
2023-10-27 12:22:43.377 [warning] TextEditor is closed/disposed
2023-10-27 12:23:04.138 [warning] TextEditor is closed/disposed
2023-10-27 12:23:07.421 [warning] TextEditor is closed/disposed
2023-10-27 12:23:10.432 [warning] TextEditor is closed/disposed
2023-10-27 12:23:11.588 [warning] TextEditor is closed/disposed
2023-10-27 12:23:13.020 [warning] TextEditor is closed/disposed
2023-10-27 12:27:04.627 [warning] TextEditor is closed/disposed
2023-10-27 12:32:17.453 [warning] TextEditor is closed/disposed
2023-10-27 12:32:23.534 [warning] TextEditor is closed/disposed
2023-10-27 12:32:28.146 [warning] TextEditor is closed/disposed
2023-10-27 12:32:31.397 [warning] TextEditor is closed/disposed
2023-10-27 12:36:37.220 [warning] TextEditor is closed/disposed
2023-10-27 12:37:32.559 [warning] TextEditor is closed/disposed
2023-10-27 12:37:42.700 [warning] TextEditor is closed/disposed
2023-10-27 12:37:46.462 [warning] TextEditor is closed/disposed
2023-10-27 12:39:42.622 [warning] TextEditor is closed/disposed
2023-10-27 12:39:53.962 [warning] TextEditor is closed/disposed
2023-10-27 12:40:23.910 [warning] TextEditor is closed/disposed
2023-10-27 12:40:29.646 [warning] TextEditor is closed/disposed
2023-10-27 12:41:07.600 [warning] TextEditor is closed/disposed
2023-10-27 12:41:24.705 [warning] TextEditor is closed/disposed
2023-10-27 12:44:40.541 [warning] TextEditor is closed/disposed
2023-10-27 12:44:41.123 [warning] TextEditor is closed/disposed
2023-10-27 12:44:41.888 [warning] TextEditor is closed/disposed
2023-10-27 12:44:43.461 [warning] TextEditor is closed/disposed
2023-10-27 12:46:25.337 [warning] TextEditor is closed/disposed
2023-10-27 12:53:59.925 [warning] TextEditor is closed/disposed
2023-10-27 12:54:00.495 [warning] TextEditor is closed/disposed
2023-10-27 12:54:01.005 [warning] TextEditor is closed/disposed
2023-10-27 12:54:34.152 [warning] TextEditor is closed/disposed
2023-10-27 13:30:54.550 [warning] TextEditor is closed/disposed
2023-10-27 13:30:58.974 [warning] TextEditor is closed/disposed
2023-10-27 15:08:54.146 [warning] TextEditor is closed/disposed
2023-10-27 15:09:02.552 [warning] TextEditor is closed/disposed
2023-10-27 15:11:57.053 [warning] TextEditor is closed/disposed
2023-10-27 15:12:28.361 [warning] TextEditor is closed/disposed
2023-10-27 15:12:57.019 [warning] TextEditor is closed/disposed
2023-10-27 15:13:01.326 [warning] TextEditor is closed/disposed
2023-10-27 15:13:03.651 [warning] TextEditor is closed/disposed
2023-10-27 15:13:32.623 [warning] TextEditor is closed/disposed
2023-10-27 15:14:22.733 [warning] TextEditor is closed/disposed
2023-10-27 15:14:25.185 [warning] TextEditor is closed/disposed
2023-10-27 15:14:47.628 [warning] TextEditor is closed/disposed
2023-10-27 15:15:26.045 [warning] TextEditor is closed/disposed
2023-10-27 15:16:20.891 [warning] TextEditor is closed/disposed
2023-10-27 15:16:33.118 [warning] TextEditor is closed/disposed
2023-10-27 15:16:38.244 [warning] TextEditor is closed/disposed
2023-10-27 15:17:02.928 [warning] TextEditor is closed/disposed
2023-10-27 15:17:19.433 [warning] TextEditor is closed/disposed
2023-10-27 15:17:32.097 [warning] TextEditor is closed/disposed
2023-10-27 15:17:35.951 [warning] TextEditor is closed/disposed
2023-10-27 15:17:47.578 [warning] TextEditor is closed/disposed
2023-10-27 15:18:14.836 [warning] TextEditor is closed/disposed
2023-10-27 15:18:15.389 [warning] TextEditor is closed/disposed
2023-10-27 15:18:39.971 [warning] TextEditor is closed/disposed
2023-10-27 15:19:01.015 [warning] TextEditor is closed/disposed
2023-10-27 15:19:52.653 [warning] TextEditor is closed/disposed
2023-10-27 15:24:52.322 [warning] TextEditor is closed/disposed
2023-10-27 15:24:55.894 [warning] TextEditor is closed/disposed
2023-10-27 15:25:14.057 [warning] TextEditor is closed/disposed
2023-10-27 15:26:07.968 [warning] TextEditor is closed/disposed
2023-10-27 15:26:09.192 [warning] TextEditor is closed/disposed
2023-10-27 15:26:09.529 [warning] TextEditor is closed/disposed
2023-10-27 15:26:09.878 [warning] TextEditor is closed/disposed
2023-10-27 15:27:08.293 [warning] TextEditor is closed/disposed
2023-10-27 15:28:45.473 [warning] TextEditor is closed/disposed
2023-10-27 15:32:41.232 [warning] TextEditor is closed/disposed
2023-10-27 15:32:42.887 [warning] TextEditor is closed/disposed
2023-10-27 15:33:32.973 [warning] Illegal argument: TextEditor(vs.editor.ICodeEditor:1,$model14)
2023-10-27 15:33:33.843 [warning] TextEditor is closed/disposed
2023-10-27 15:35:35.112 [warning] TextEditor is closed/disposed
2023-10-27 15:37:04.800 [warning] TextEditor is closed/disposed
2023-10-27 15:37:07.133 [warning] TextEditor is closed/disposed
2023-10-27 15:37:09.666 [warning] TextEditor is closed/disposed
2023-10-27 15:37:11.406 [warning] TextEditor is closed/disposed
2023-10-27 15:37:13.358 [warning] TextEditor is closed/disposed
2023-10-27 15:37:39.591 [warning] TextEditor is closed/disposed
2023-10-27 15:37:41.895 [warning] TextEditor is closed/disposed
2023-10-27 15:37:43.005 [warning] TextEditor is closed/disposed
2023-10-27 15:39:16.464 [warning] TextEditor is closed/disposed
2023-10-27 15:39:47.808 [warning] TextEditor is closed/disposed
2023-10-27 15:52:52.566 [warning] TextEditor is closed/disposed
2023-10-27 15:55:08.467 [info] Extension host terminating: renderer closed the MessagePort
2023-10-27 15:55:08.496 [warning] Canceled
2023-10-27 15:55:08.499 [error] Canceled: Canceled
	at new g (/usr/lib/code/out/vs/workbench/api/node/extensionHostProcess.js:125:57216)
	at i.U (/usr/lib/code/out/vs/workbench/api/node/extensionHostProcess.js:134:10864)
	at M.<computed>.j.charCodeAt.M.<computed> (/usr/lib/code/out/vs/workbench/api/node/extensionHostProcess.js:134:8315)
	at n.g (/usr/lib/code/out/vs/workbench/api/node/extensionHostProcess.js:125:83747)
	at n.executeCommand (/usr/lib/code/out/vs/workbench/api/node/extensionHostProcess.js:125:83185)
	at b.registerCommand.description (/usr/lib/code/out/vs/workbench/api/node/extensionHostProcess.js:125:82506)
	at n.h (/usr/lib/code/out/vs/workbench/api/node/extensionHostProcess.js:125:84283)
	at n.g (/usr/lib/code/out/vs/workbench/api/node/extensionHostProcess.js:125:83278)
	at n.executeCommand (/usr/lib/code/out/vs/workbench/api/node/extensionHostProcess.js:125:83185)
	at Object.executeCommand (/usr/lib/code/out/vs/workbench/api/node/extensionHostProcess.js:140:21282)
	at s.D [as value] (/usr/lib/code/extensions/git/dist/main.js:2:1312800)
	at c.z (/usr/lib/code/out/vs/workbench/api/node/extensionHostProcess.js:80:1902)
	at c.A (/usr/lib/code/out/vs/workbench/api/node/extensionHostProcess.js:80:1972)
	at c.fire (/usr/lib/code/out/vs/workbench/api/node/extensionHostProcess.js:80:2188)
	at Object.m [as dispose] (/usr/lib/code/extensions/git/dist/main.js:2:1328588)
	at /usr/lib/code/extensions/git/dist/main.js:2:1333429
	at Array.forEach (<anonymous>)
	at g.dispose (/usr/lib/code/extensions/git/dist/main.js:2:1333415)
	at v.<anonymous> (/usr/lib/code/out/vs/workbench/api/node/extensionHostProcess.js:121:3521)
	at v.dispose (/usr/lib/code/out/vs/workbench/api/node/extensionHostProcess.js:121:3618)
	at v.<anonymous> (/usr/lib/code/extensions/git/dist/main.js:2:1314812)
	at v.dispose (/usr/lib/code/out/vs/workbench/api/node/extensionHostProcess.js:121:3618)
	at o (/usr/lib/code/out/vs/workbench/api/node/extensionHostProcess.js:30:754)
	at s.cb (/usr/lib/code/out/vs/workbench/api/node/extensionHostProcess.js:136:9846)
